year,host_city,host_country,country_code,country_name,sport,event,athlete_name,medal
1972,Munich,FRG,USA,United States,Volleyball,Volleyball team event,John Costa,Gold
2000,Sydney,AUS,GER,Germany,Hockey,Hockey team event,Diego Muller,Silver
2012,London,GBR,RUS,Russia,Shooting,Shooting event,Ana Kovac,Bronze
2016,Rio,BRA,JPN,Japan,Volleyball,Volleyball team event,Yuki Tanaka,Gold
2008,Beijing,CHN,FRA,France,Swimming,Swimming event,Marco Muller,Gold
1984,Los Angeles,USA,USA,United States,WaterPolo,WaterPolo team event,Diego Zhang,Bronze
2004,Athens,GRC,CHN,China,Boxing,Boxing event,Ivan Novak,Silver
1988,Seoul,KOR,NOR,Norway,WaterPolo,WaterPolo team event,John Zhang,Gold
1976,Montreal,CAN,KOR,South Korea,WaterPolo,WaterPolo team event,John Zhang,Silver
1996,Atlanta,USA,GER,Germany,Basketball,Basketball team event,Liu Andersson,Gold
1984,Los Angeles,USA,USA,United States,Football,Football team event,Marco Rossi,Gold
2012,London,GBR,GBR,Great Britain,Football,Football team event,Alex Zhang,Silver
2012,London,GBR,NED,Netherlands,WaterPolo,WaterPolo team event,Wei Kovac,Gold
2000,Sydney,AUS,NED,Netherlands,Weightlifting,Weightlifting event,Carlos Okafor,Gold
1980,Moscow,URS,CHN,China,Volleyball,Volleyball team event,Maria Smith,Bronze
1968,Mexico City,MEX,URS,Soviet Union,Swimming,Swimming event,Kenji Zhang,Gold
1960,Rome,ITA,KOR,South Korea,Relays,Relays team event,Alex Rossi,Silver
2004,Athens,GRC,CUB,Cuba,Swimming,Swimming event,Sven Novak,Bronze
2008,Beijing,CHN,SRB,Serbia,Basketball,Basketball team event,Lars Okafor,S
2008,Beijing,CHN,USA,United States,Handball,Handball team event,Elena Rossi,gold
2004,Athens,GRC,BRA,Brazil,Rowing,Rowing team event,Maria Kim,Silver
1976,Montreal,CAN,CAN,Canada,Football,Football team event,Pavel Smith,Bronze
1992,Barcelona,ESP,CHN,China,Football,Football team event,Alex Petrov,Silver
1988,Seoul,KOR,ITA,Italy,Basketball,Basketball team event,Carlos Wang,Bronze
1988,Seoul,KOR,JPN,Japan,Boxing,Boxing event,John Kovac,Bronze
1988,Seoul,KOR,KOR,South Korea,Handball,Handball team event,Sofia Zhang,Gold
1972,Munich,FRG,USA,United States,Gymnastics,Gymnastics event,Yuki Smith,Gold
2008,Beijing,CHN,AUS,Australia,WaterPolo,WaterPolo team event,John Silva,Bronze
1992,Barcelona,ESP,BRA,Brazil,WaterPolo,WaterPolo team event,Anna Andersson,Silver
1996,Atlanta,USA,GER,Germany,Wrestling,Wrestling event,Sofia Park,Silver
1988,Seoul,KOR,ITA,Italy,Shooting,Shooting event,Omar Petrov,Silver
2008,Beijing,CHN,GER,Germany,Hockey,Hockey team event,Liu Rossi,Silver
2008,Beijing,CHN,HUN,Hungary,Gymnastics,Gymnastics event,Ivan Muller,Bronze
1960,Rome,ITA,URS,Soviet Union,Judo,Judo event,Elena Nielsen,Silver
1980,Moscow,URS,BRA,Brazil,Basketball,Basketball team event,Elena Andersson,Silver
2004,Athens,GRC,KOR,South Korea,Basketball,Basketball team event,Nadia Wang,Silver
2016,Rio,BRA,HUN,Hungary,Hockey,Hockey team event,Diego Muller,Gold
1964,Tokyo,JPN,AUS,Australia,Judo,Judo event,Marco Kim,Bronze
2012,London,GBR,CHN,China,Athletics,Athletics event,Wei Petrov,Silver
2016,Rio,BRA,USA,United States,Gymnastics,Gymnastics event,Ana Tanaka,Bronze
1976,Montreal,CAN,ITA,Italy,Athletics,Athletics event,John Park,Bronze
2008,Beijing,CHN,GBR,Great Britain,Rowing,Rowing team event,Carlos Zhang,Bronze
1980,Moscow,URS,URS,Soviet Union,Gymnastics,Gymnastics event,Carlos Silva,Gold
1984,Los Angeles,USA,GBR,Great Britain,WaterPolo,WaterPolo team event,Sven Nielsen,Gold
2000,Sydney,AUS,MEX,Mexico,Athletics,Athletics event,Yuki Silva,Bronze
1988,Seoul,KOR,HUN,Hungary,Basketball,Basketball team event,Carlos Lopez,Gold
2012,London,GBR,GBR,Great Britain,Football,Football team event,Sven Lopez,Silver
1960,Rome,ITA,JAM,Jamaica,Swimming,Swimming event,Alex Kim,Gold
1980,Moscow,URS,YUG,Yugoslavia,Hockey,Hockey team event,Ana Silva,GOLD 
1968,Mexico City,MEX,BRA,Brazil,Basketball,Basketball team event,Lars Muller,Bronze
1996,Atlanta,USA,AUS,Australia,Hockey,Hockey team event,Ivan Ahmed,Gold
1968,Mexico City,MEX,URS,Soviet Union,Basketball,Basketball team event,Alex Ahmed,Gold
2012,London,GBR,GRC,Greece,Handball,Handball team event,Carlos Muller,Bronze
1964,Tokyo,JPN,YUG,Yugoslavia,WaterPolo,WaterPolo team event,Anna Park,Bronze
1980,Moscow,URS,URS,Soviet Union,Relays,Relays team event,Pavel Lopez,Bronze
1972,Munich,FRG,USA,United States,Wrestling,Wrestling event,Nadia Silva,Gold
1996,Atlanta,USA,NED,Netherlands,Volleyball,Volleyball team event,John Ahmed,Gold
1976,Montreal,CAN,USA,United States,Shooting,Shooting event,Yuki Park,Silver
2012,London,GBR,CHN,China,Athletics,Athletics event,Yuki Tanaka,Gold
1996,Atlanta,USA,RUS,Russia,Football,Football team event,Pavel Nielsen,Bronze
2008,Beijing,CHN,JPN,Japan,Football,Football team event,Alex Kovac,Silver
2000,Sydney,AUS,CUB,Cuba,Basketball,Basketball team event,Sofia Wang,Bronze
1996,Atlanta,USA,CHN,China,Relays,Relays team event,Ivan Muller,Gold
1984,Los Angeles,USA,MEX,Mexico,Wrestling,Wrestling event,Lars Tanaka,Silver
1968,Mexico City,MEX,BRA,Brazil,Handball,Handball team event,Yuki Okafor,Gold
2000,Sydney,AUS,GBR,Great Britain,Rowing,Rowing team event,Sofia Kovac,Bronze
2016,Rio,BRA,BRA,Brazil,Judo,Judo event,Sven Nielsen,Bronze
1980,Moscow,URS,URS,Soviet Union,Gymnastics,Gymnastics event,Diego Park,Bronze
2008,Beijing,CHN,JAM,Jamaica,Volleyball,Volleyball team event,Omar Costa,Gold
1964,Tokyo,JPN,USA,United States,Rowing,Rowing team event,Ana Kim,Gold
1996,Atlanta,USA,CHN,China,Hockey,Hockey team event,Lars Nielsen,Silver
2016,Rio,BRA,USA,United States,Judo,Judo event,Kenji Park,Gold
2000,Sydney,AUS,CHN,China,Rowing,Rowing team event,Omar Park,Silver
1988,Seoul,KOR,CHN,China,Weightlifting,Weightlifting event,Liu Okafor,Gold
1996,Atlanta,USA,KEN,Kenya,Diving,Diving event,John Muller,Gold
1964,Tokyo,JPN,ESP,Spain,Swimming,Swimming event,Marco Petrov,Gold
1992,Barcelona,ESP,USA,United States,Relays,Relays team event,Pavel Andersson,Gold
2012,London,GBR,CHN,China,Athletics,Athletics event,Sven Tanaka,Silver
1968,Mexico City,MEX,USA,United States,Rowing,Rowing team event,Ana Rossi,Silver
1996,Atlanta,USA,MEX,Mexico,Judo,Judo event,Maria Smith,Gold
2012,London,GBR,USA,United States,WaterPolo,WaterPolo team event,Omar Kim,Bronze
1988,Seoul,KOR,BRA,Brazil,Swimming,Swimming event,Maria Kim,Bronze
1960,Rome,ITA,GBR,Great Britain,Handball,Handball team event,Alex Kovac,Silver
1984,Los Angeles,USA,JPN,Japan,Basketball,Basketball team event,Yuki Wang,Silver
2008,Beijing,CHN,GRC,Greece,Athletics,Athletics event,Elena Petrov,Silver
2012,London,GBR,AUS,Australia,Athletics,Athletics event,Ana Novak,Gold
1992,Barcelona,ESP,GBR,Great Britain,Wrestling,Wrestling event,John Smith,Silver
1992,Barcelona,ESP,YUG,Yugoslavia,Tennis,Tennis event,Sofia Kovac,Bronze
1976,Montreal,CAN,FRG,West Germany,Athletics,Athletics event,Yuki Ahmed,gold
2008,Beijing,CHN,ITA,Italy,Judo,Judo event,Carlos Park,Silver
2008,Beijing,CHN,USA,United States,WaterPolo,WaterPolo team event,Alex Park,Silver
2004,Athens,GRC,AUS,Australia,Wrestling,Wrestling event,Ivan Park,Gold
1980,Moscow,URS,HUN,Hungary,Judo,Judo event,Liu Kim,Silver
2016,Rio,BRA,USA,United States,Basketball,Basketball team event,Diego Andersson,Gold
2012,London,GBR,USA,United States,Weightlifting,Weightlifting event,Kenji Ahmed,Bronze
2000,Sydney,AUS,GBR,Great Britain,Athletics,Athletics event,Alex Costa,Silver
2000,Sydney,AUS,CAN,Canada,Football,Football team event,Alex Kim,Bronze
1972,Munich,FRG,USA,United States,Rowing,Rowing team event,Pavel Wang,Bronze
2012,London,GBR,CHN,China,Hockey,Hockey team event,Maria Tanaka,Silver
2012,London,GBR,ESP,Spain,Rowing,Rowing team event,Nadia Lopez,Gold
1996,Atlanta,USA,USA,United States,Relays,Relays team event,Nadia Wang,Bronze
1960,Rome,ITA,USA,United States,Volleyball,Volleyball team event,Ivan Smith,Bronze
1992,Barcelona,ESP,FRA,France,Basketball,Basketball team event,Elena Andersson,Gold
1988,Seoul,KOR,GBR,Great Britain,Athletics,Athletics event,Liu Muller,Bronze
1988,Seoul,KOR,CUB,Cuba,Hockey,Hockey team event,Marco Costa,Bronze
1996,Atlanta,USA,ITA,Italy,Weightlifting,Weightlifting event,Marco Muller,Gold
2016,Rio,BRA,AUS,Australia,Basketball,Basketball team event,Alex Rossi,Silver
2012,London,GBR,JPN,Japan,Swimming,Swimming event,Alex Park,Bronze
1960,Rome,ITA,USA,United States,Weightlifting,Weightlifting event,Alex Novak,Silver
2012,London,GBR,AUS,Australia,Volleyball,Volleyball team event,Lars Park,Gold
2000,Sydney,AUS,CHN,China,Volleyball,Volleyball team event,Ana Andersson,Gold
1968,Mexico City,MEX,NED,Netherlands,Swimming,Swimming event,Wei Zhang,Silver
1984,Los Angeles,USA,AUS,Australia,Weightlifting,Weightlifting event,Diego Muller,Bronze
2000,Sydney,AUS,USA,United States,Relays,Relays team event,Lars Wang,G
1964,Tokyo,JPN,CUB,Cuba,Hockey,Hockey team event,Yuki Nielsen,Bronze
1960,Rome,ITA,KOR,South Korea,Boxing,Boxing event,Lars Lopez,Silver
2016,Rio,BRA,NED,Netherlands,Volleyball,Volleyball team event,Wei Wang,Silver
2008,Beijing,CHN,CHN,China,Boxing,Boxing event,Maria Silva,Gold
2016,Rio,BRA,BRA,Brazil,Relays,Relays team event,Yuki Andersson,Silver
2012,London,GBR,JPN,Japan,Rowing,Rowing team event,Kenji Petrov,Silver
1964,Tokyo,JPN,NED,Netherlands,Cycling,Cycling event,Ivan Kim,Bronze
1984,Los Angeles,USA,CHN,China,Athletics,Athletics event,Ivan Silva,Bronze
2000,Sydney,AUS,NED,Netherlands,Judo,Judo event,Carlos Silva,Gold
1964,Tokyo,JPN,JPN,Japan,Weightlifting,Weightlifting event,Sven Okafor,Bronze
1964,Tokyo,JPN,GBR,Great Britain,Basketball,Basketball team event,Wei Silva,Bronze
1992,Barcelona,ESP,JPN,Japan,Basketball,Basketball team event,Carlos Kovac,Silver
1988,Seoul,KOR,USA,United States,Hockey,Hockey team event,Kenji Smith,Silver
2016,Rio,BRA,CAN,Canada,Basketball,Basketball team event,Marco Petrov,Silver
1980,Moscow,URS,URS,Soviet Union,Rowing,Rowing team event,Lars Novak,Gold
1964,Tokyo,JPN,URS,Soviet Union,Tennis,Tennis event,Anna Petrov,Silver
1964,Tokyo,JPN,KEN,Kenya,Athletics,Athletics event,Maria Wang,Bronze
2008,Beijing,CHN,USA,United States,Handball,Handball team event,Liu Muller,Bronze
1980,Moscow,URS,URS,Soviet Union,Volleyball,Volleyball team event,Alex Park,Silver
2012,London,GBR,CHN,China,Athletics,Athletics event,Carlos Tanaka,Bronze
2012,London,GBR,CHN,China,Shooting,Shooting event,Lars Smith,Bronze
1976,Montreal,CAN,USA,United States,Boxing,Boxing event,Sofia Costa,Silver
1964,Tokyo,JPN,USA,United States,Football,Football team event,John Park,Bronze
1996,Atlanta,USA,NED,Netherlands,Relays,Relays team event,Wei Tanaka,Silver
2008,Beijing,CHN,JAM,Jamaica,Judo,Judo event,Nadia Zhang,Silver
2004,Athens,GRC,KEN,Kenya,Fencing,Fencing event,Maria Costa,Gold
2008,Beijing,CHN,FRA,France,Diving,Diving event,Ivan Kim,Gold
2004,Athens,GRC,KOR,South Korea,Fencing,Fencing event,Elena Ahmed,Bronze
1972,Munich,FRG,GRC,Greece,Rowing,Rowing team event,Wei Andersson,Gold
1992,Barcelona,ESP,USA,United States,Diving,Diving event,Ana Ahmed,Silver
1992,Barcelona,ESP,CAN,Canada,Shooting,Shooting event,Marco Smith,Gold
1964,Tokyo,JPN,BRA,Brazil,Swimming,Swimming event,Carlos Muller,Bronze
2000,Sydney,AUS,RUS,Russia,Relays,Relays team event,Alex Silva,Silver
1964,Tokyo,JPN,JPN,Japan,Basketball,Basketball team event,Diego Kim,Silver
2000,Sydney,AUS,FRA,France,Volleyball,Volleyball team event,Pavel Park,Silver
1964,Tokyo,JPN,NED,Netherlands,Relays,Relays team event,Yuki Silva,Silver
1964,Tokyo,JPN,GBR,Great Britain,Athletics,Athletics event,Kenji Silva,Gold
1988,Seoul,KOR,NOR,Norway,Cycling,Cycling event,Wei Petrov,Gold
2016,Rio,BRA,CHN,China,Football,Football team event,Anna Wang,Gold
1972,Munich,FRG,MEX,Mexico,Athletics,Athletics event,Wei Novak,Silver
2004,Athens,GRC,GER,Germany,WaterPolo,WaterPolo team event,Anna Ahmed,Gold
2016,Rio,BRA,USA,United States,Athletics,Athletics event,Ana Wang,Gold
2012,London,GBR,HUN,Hungary,Hockey,Hockey team event,Omar Park,Gold
1968,Mexico City,MEX,TCH,Czechoslovakia,Athletics,Athletics event,Pavel Okafor,Bronze
1964,Tokyo,JPN,FRG,West Germany,WaterPolo,WaterPolo team event,Alex Costa,Silver
1988,Seoul,KOR,BRA,Brazil,Judo,Judo event,Kenji Petrov,Silver
2012,London,GBR,BRA,Brazil,Basketball,Basketball team event,Pavel Smith,Bronze
1992,Barcelona,ESP,KOR,South Korea,Relays,Relays team event,Elena Rossi,Gold
2000,Sydney,AUS,CAN,Canada,Athletics,Athletics event,Carlos Petrov,Gold
1984,Los Angeles,USA,USA,United States,Relays,Relays team event,Maria Novak,Gold
1992,Barcelona,ESP,USA,United States,Shooting,Shooting event,Maria Rossi,Bronze
1968,Mexico City,MEX,BRA,Brazil,Basketball,Basketball team event,Lars Novak,Bronze
2012,London,GBR,ITA,Italy,Gymnastics,Gymnastics event,Pavel Wang,Gold
2008,Beijing,CHN,SRB,Serbia,Basketball,Basketball team event,Lars Novak,Silver
1960,Rome,ITA,AUS,Australia,Rowing,Rowing team event,Sven Ahmed,Bronze
1984,Los Angeles,USA,USA,United States,Judo,Judo event,Alex Zhang,Gold
2008,Beijing,CHN,FRA,France,Athletics,Athletics event,Liu Ahmed,Bronze
1980,Moscow,URS,URS,Soviet Union,Boxing,Boxing event,John Muller,Gold
1988,Seoul,KOR,BRA,Brazil,Relays,Relays team event,Nadia Andersson,Silver
1980,Moscow,URS,URS,Soviet Union,Judo,Judo event,Elena Silva,Gold
1972,Munich,FRG,ESP,Spain,Handball,Handball team event,Wei Smith,Gold
2004,Athens,GRC,GBR,Great Britain,Shooting,Shooting event,Lars Park,Silver
1968,Mexico City,MEX,BRA,Brazil,Basketball,Basketball team event,Diego Kim,Gold
1980,Moscow,URS,CHN,China,WaterPolo,WaterPolo team event,Wei Nielsen,Silver
1960,Rome,ITA,HUN,Hungary,Hockey,Hockey team event,Ivan Rossi,Bronze
1968,Mexico City,MEX,ESP,Spain,Handball,Handball team event,Nadia Petrov,Bronze
1964,Tokyo,JPN,URS,Soviet Union,Rowing,Rowing team event,Wei Costa,Bronze
2016,Rio,BRA,FRA,France,Rowing,Rowing team event,Nadia Okafor,Bronze
1960,Rome,ITA,NED,Netherlands,Judo,Judo event,Alex Wang,Bronze
1964,Tokyo,JPN,NED,Netherlands,Relays,Relays team event,Ana Petrov,Bronze
2004,Athens,GRC,KOR,South Korea,Judo,Judo event,Alex Tanaka,Gold
1992,Barcelona,ESP,GER,Germany,Judo,Judo event,Omar Silva,Bronze
1980,Moscow,URS,HUN,Hungary,Handball,Handball team event,Ivan Okafor,Gold
2004,Athens,GRC,RUS,Russia,Tennis,Tennis event,Carlos Wang,Gold
1960,Rome,ITA,MEX,Mexico,Athletics,Athletics event,Omar Park,Bronze
2004,Athens,GRC,ESP,Spain,Rowing,Rowing team event,Anna Andersson,Bronze
1976,Montreal,CAN,USA,United States,Relays,Relays team event,Ana Silva,Silver
1996,Atlanta,USA,CHN,China,Volleyball,Volleyball team event,Ana Park,bronze
1992,Barcelona,ESP,CAN,Canada,Volleyball,Volleyball team event,Anna Tanaka,Silver
2012,London,GBR,JPN,Japan,Basketball,Basketball team event,Ana Smith,Bronze
2004,Athens,GRC,CHN,China,Swimming,Swimming event,Diego Wang,Gold
1980,Moscow,URS,HUN,Hungary,Hockey,Hockey team event,Ana Rossi,Silver
2004,Athens,GRC,,Russia,Boxing,Boxing event,Yuki Petrov,Silver
1984,Los Angeles,USA,CHN,China,Fencing,Fencing event,John Silva,Gold
1984,Los Angeles,USA,FRG,West Germany,Basketball,Basketball team event,Liu Rossi,Silver
1988,Seoul,KOR,KOR,South Korea,Relays,Relays team event,Wei Novak,Gold
2012,London,GBR,GER,Germany,WaterPolo,WaterPolo team event,Kenji Kim,Silver
1964,Tokyo,JPN,CAN,Canada,Handball,Handball team event,Omar Costa,Bronze
1988,Seoul,KOR,ITA,Italy,Fencing,Fencing event,Pavel Park,Bronze
1984,Los Angeles,USA,FRA,France,Football,Football team event,Elena Park,Gold
1992,Barcelona,ESP,KOR,South Korea,Rowing,Rowing team event,Marco Wang,Bronze
2008,Beijing,CHN,NED,Netherlands,Athletics,Athletics event,Sven Wang,Gold
2008,Beijing,CHN,USA,United States,Athletics,Athletics event,Yuki Kim,Gold
2008,Beijing,CHN,JAM,Jamaica,Volleyball,Volleyball team event,Alex Novak,Gold
2004,Athens,GRC,CHN,China,Volleyball,Volleyball team event,Alex Muller,Bronze
1968,Mexico City,MEX,BRA,Brazil,Football,Football team event,Wei Wang,Gold
1992,Barcelona,ESP,USA,United States,Handball,Handball team event,Carlos Park,Silver
2012,London,GBR,CUB,Cuba,Volleyball,Volleyball team event,Liu Rossi,Silver
2004,Athens,GRC,CHN,China,Volleyball,Volleyball team event,Sofia Nielsen,Gold
1996,Atlanta,USA,CUB,Cuba,Boxing,Boxing event,Omar Ahmed,Silver
1988,Seoul,KOR,URS,Soviet Union,Athletics,Athletics event,Marco Costa,Bronze
1980,Moscow,URS,CHN,China,Athletics,Athletics event,Maria Costa,Bronze
1968,Mexico City,MEX,GDR,East Germany,Tennis,Tennis event,Ana Petrov,Bronze
2004,Athens,GRC,CHN,China,Football,Football team event,Ana Muller,Silver
1960,Rome,ITA,ITA,Italy,Swimming,Swimming event,Sven Ahmed,Gold
1960,Rome,ITA,USA,United States,Volleyball,Volleyball team event,Maria Kovac,Bronze
1996,Atlanta,USA,BRA,Brazil,Basketball,Basketball team event,Ana Silva,Gold
2008,Beijing,CHN,KEN,Kenya,Athletics,Athletics event,Kenji Park,Silver
2004,Athens,GRC,JPN,Japan,Hockey,Hockey team event,Maria Wang,Bronze
1988,Seoul,KOR,USA,United States,Relays,Relays team event,Ana Lopez,Bronze
1984,Los Angeles,USA,USA,United States,Relays,Relays team event,John Novak,Gold
2008,Beijing,CHN,JAM,Jamaica,Volleyball,Volleyball team event,Nadia Wang,Gold
2000,Sydney,AUS,CHN,China,Hockey,Hockey team event,Carlos Park,Bronze
2004,Athens,GRC,BRA,Brazil,Hockey,Hockey team event,Yuki Tanaka,Bronze
2000,Sydney,AUS,JAM,Jamaica,Hockey,Hockey team event,Pavel Kovac,G
2000,Sydney,AUS,GER,Germany,Gymnastics,Gymnastics event,Marco Silva,Bronze
1996,Atlanta,USA,USA,United States,Swimming,Swimming event,Yuki Silva,Bronze
1968,Mexico City,MEX,CAN,Canada,Swimming,Swimming event,Lars Smith,Bronze
2016,Rio,BRA,BRA,Brazil,Handball,Handball team event,Marco Rossi,Silver
1964,Tokyo,JPN,GDR,East Germany,Football,Football team event,Sven Park,Bronze
1992,Barcelona,ESP,HUN,Hungary,Basketball,Basketball team event,Maria Lopez,bronze
1964,Tokyo,JPN,BRA,Brazil,Athletics,Athletics event,Marco Nielsen,Bronze
2008,Beijing,CHN,GER,Germany,Hockey,Hockey team event,Kenji Tanaka,Silver
1996,Atlanta,USA,GRC,Greece,Swimming,Swimming event,Sven Zhang,Bronze
1992,Barcelona,ESP,BRA,Brazil,WaterPolo,WaterPolo team event,Diego Wang,Silver
1984,Los Angeles,USA,ESP,Spain,Swimming,Swimming event,Carlos Muller,Bronze
2000,Sydney,AUS,CHN,China,Swimming,Swimming event,Alex Zhang,Bronze
2012,London,GBR,ITA,Italy,Hockey,Hockey team event,Omar Kim,Bronze
1996,Atlanta,USA,CHN,China,Swimming,Swimming event,Sven Muller,Gold
2012,London,GBR,HUN,Hungary,Shooting,Shooting event,Ana Kovac,Silver
2016,Rio,BRA,AUS,Australia,Swimming,Swimming event,Wei Tanaka,Gold
2004,Athens,GRC,CZE,Czech Republic,Athletics,Athletics event,Wei Zhang,Bronze
1992,Barcelona,ESP,JPN,Japan,Basketball,Basketball team event,Kenji Okafor,Silver
1980,Moscow,URS,BRA,Brazil,Volleyball,Volleyball team event,Sofia Lopez,Bronze
1980,Moscow,URS,CHN,China,Shooting,Shooting event,John Wang,Bronze
2008,Beijing,CHN,CHN,China,Judo,Judo event,Ana Tanaka,Gold
1964,Tokyo,JPN,URS,Soviet Union,Swimming,Swimming event,Diego Park,Gold
2012,London,GBR,BRA,Brazil,Basketball,Basketball team event,Kenji Wang,Gold
1980,Moscow,URS,JAM,Jamaica,Football,Football team event,Elena Ahmed,Silver
1984,Los Angeles,USA,JPN,Japan,Swimming,Swimming event,Sofia Lopez,Bronze
2016,Rio,BRA,CHN,China,Weightlifting,Weightlifting event,Carlos Andersson,Bronze
2012,London,GBR,CHN,China,Handball,Handball team event,Kenji Okafor,Bronze
1992,Barcelona,ESP,HUN,Hungary,Weightlifting,Weightlifting event,Marco Novak,Bronze
1964,Tokyo,JPN,URS,Soviet Union,Basketball,Basketball team event,Sven Kovac,Gold
1992,Barcelona,ESP,GBR,Great Britain,Hockey,Hockey team event,Lars Muller,Silver
1980,Moscow,URS,URS,Soviet Union,WaterPolo,WaterPolo team event,Marco Lopez,Gold
2008,Beijing,CHN,KOR,South Korea,Swimming,Swimming event,Alex Rossi,Gold
2012,London,GBR,AUS,Australia,Rowing,Rowing team event,Omar Smith,Gold
2000,Sydney,AUS,BRA,Brazil,Judo,Judo event,Sofia Zhang,Bronze
2000,Sydney,AUS,ESP,Spain,Volleyball,Volleyball team event,Marco Park,Bronze
2008,Beijing,CHN,FRA,France,Hockey,Hockey team event,Yuki Lopez,Silver
1996,Atlanta,USA,JPN,Japan,Volleyball,Volleyball team event,Wei Petrov,Bronze
1976,Montreal,CAN,URS,Soviet Union,Relays,Relays team event,Alex Petrov,Gold
1976,Montreal,CAN,ITA,Italy,Cycling,Cycling event,Lars Silva,Silver
1988,Seoul,KOR,KEN,Kenya,Gymnastics,Gymnastics event,Nadia Silva,Silver
2008,Beijing,CHN,CHN,China,Rowing,Rowing team event,Omar Wang,Gold
1988,Seoul,KOR,AUS,Australia,Boxing,Boxing event,Kenji Petrov,Bronze
1996,Atlanta,USA,ITA,Italy,Wrestling,Wrestling event,Kenji Zhang,Gold
2012,London,GBR,CAN,Canada,Diving,Diving event,Sven Kovac,Silver
1988,Seoul,KOR,JAM,Jamaica,Diving,Diving event,Alex Kovac,Silver
2008,Beijing,CHN,KEN,Kenya,Swimming,Swimming event,Maria Wang,Bronze
1968,Mexico City,MEX,NED,Netherlands,Rowing,Rowing team event,Nadia Costa,Silver
1984,Los Angeles,USA,FRA,France,Hockey,Hockey team event,Yuki Silva,Gold
2016,Rio,BRA,FRA,France,Athletics,Athletics event,Nadia Lopez,Bronze
1964,Tokyo,JPN,CHN,China,Basketball,Basketball team event,Liu Okafor,Gold
1964,Tokyo,JPN,CAN,Canada,Handball,Handball team event,Lars Andersson,Bronze
1984,Los Angeles,USA,GBR,Great Britain,Basketball,Basketball team event,Pavel Kovac,Gold
1996,Atlanta,USA,RUS,Russia,Diving,Diving event,Omar Park,Gold
1984,Los Angeles,USA,ESP,Spain,Athletics,Athletics event,Marco Park,Bronze
1984,Los Angeles,USA,USA,United States,Basketball,Basketball team event,Ivan Lopez,Bronze
1980,Moscow,URS,URS,Soviet Union,Basketball,Basketball team event,Pavel Tanaka,Silver
2008,Beijing,CHN,CHN,China,Rowing,Rowing team event,Maria Wang,Gold
2016,Rio,BRA,CZE,Czech Republic,Rowing,Rowing team event,Liu Ahmed,Silver
2000,Sydney,AUS,ESP,Spain,Volleyball,Volleyball team event,John Lopez,Bronze
1992,Barcelona,ESP,ESP,Spain,Hockey,Hockey team event,Carlos Zhang,Bronze
1964,Tokyo,JPN,CHN,China,Basketball,Basketball team event,Ana Ahmed,Gold
1964,Tokyo,JPN,URS,Soviet Union,Handball,Handball team event,John Smith,Silver
1964,Tokyo,JPN,CUB,Cuba,Wrestling,Wrestling event,Kenji Smith,Bronze
2004,Athens,GRC,CHN,China,Cycling,Cycling event,Maria Okafor,Bronze
1980,Moscow,URS,TCH,Czechoslovakia,Basketball,Basketball team event,Pavel Silva,Gold
2004,Athens,GRC,KOR,South Korea,Handball,Handball team event,Sofia Okafor,Silver
1972,Munich,FRG,FRG,West Germany,Gymnastics,Gymnastics event,Diego Kovac,Bronze
1964,Tokyo,JPN,USA,United States,Athletics,Athletics event,Ana Wang,Bronze
2000,Sydney,AUS,GBR,Great Britain,Rowing,Rowing team event,Diego Kim,Bronze
2012,London,GBR,KOR,South Korea,Shooting,Shooting event,Yuki Tanaka,Gold
1984,Los Angeles,USA,ITA,Italy,Handball,Handball team event,Yuki Ahmed,Silver
2016,Rio,BRA,AUS,Australia,Basketball,Basketball team event,Alex Okafor,Silver
1996,Atlanta,USA,USA,United States,Diving,Diving event,Elena Park,Gold
1976,Montreal,CAN,USA,United States,Volleyball,Volleyball team event,Maria Zhang,Bronze
1992,Barcelona,ESP,GBR,Great Britain,Boxing,Boxing event,John Kim,Gold
2004,Athens,GRC,KEN,Kenya,Gymnastics,Gymnastics event,Anna Andersson,Bronze
1988,Seoul,KOR,ITA,Italy,Basketball,Basketball team event,Alex Tanaka,2nd
1992,Barcelona,ESP,GER,Germany,Cycling,Cycling event,Wei Ahmed,Silver
2016,Rio,BRA,USA,United States,Football,Football team event,Diego Zhang,Bronze
2004,Athens,GRC,KOR,South Korea,Athletics,Athletics event,Elena Costa,Silver
2004,Athens,GRC,GER,Germany,Handball,Handball team event,John Park,Bronze
1964,Tokyo,JPN,USA,United States,Swimming,Swimming event,Lars Muller,Gold
2008,Beijing,CHN,CHN,China,Boxing,Boxing event,Wei Tanaka,Silver
1964,Tokyo,JPN,JPN,Japan,Swimming,Swimming event,Elena Smith,Gold
1988,Seoul,KOR,GRC,Greece,Fencing,Fencing event,Nadia Petrov,Bronze
2000,Sydney,AUS,GER,Germany,Rowing,Rowing team event,Marco Kovac,Gold
2000,Sydney,AUS,CZE,Czech Republic,Athletics,Athletics event,Alex Rossi,Bronze
1976,Montreal,CAN,FRG,West Germany,Wrestling,Wrestling event,Pavel Ahmed,Bronze
1960,Rome,ITA,HUN,Hungary,Handball,Handball team event,Yuki Zhang,Gold
1964,Tokyo,JPN,FRA,France,Diving,Diving event,Pavel Nielsen,Silver
1992,Barcelona,ESP,AUS,Australia,WaterPolo,WaterPolo team event,Ivan Park,Bronze
2012,London,GBR,RUS,Russia,WaterPolo,WaterPolo team event,Wei Costa,Bronze
